The verb ‘to be’ | Czasownik ‘być’
This and That | To i Tamto
Plural Nouns | Rzeczowniki w Liczbie Mnogiej
These, Those | Te i Tamte
Possessive Adjectives and Pronouns | Zaimki Dzierżawcze
Days, Months & Time | Dni, Miesiące i Czas
Questions | Pytania
Prepositions of place | Przyimki Miejsca
There is/There are | Jest/Są
Present Simple | Czas Teraźniejszy Prosty
Have, Like, Want | Mieć, Lubić, Chcieć
Object Pronouns | Zaimki Dopełnieniowe
Frequency Adverbs | Przysłówki Wyrażające Częstotliwość
Imperatives | Tryb Rozkazujący
Saxon Genitive | Dopełniacz Saksoński
Present Continuous | Czas Teraźniejszy Ciągły
Countable & Uncountable Nouns | Rzeczowniki Policzalne i Niepoliczalne
Can | Móc/Umieć/Potrafić
Must & Have to | Musieć
Comparative Adjectives | Stopień Wyższy Przymiotnika
Adverbs | Przysłówki
Reflexive Pronouns | Zaimki Zwrotne
To be Going to do something | Wyrażenie Zamiaru
Negative Questions | Pytania Przeczące
Gerund and Infinitive | Czasownik z końcówką -ing oraz Bezokolicznik
Prepositions 1 | Przyimki, część 1
Expressions 1 | Wyrażenia, część 1
Review - Sprawdź się!
