Present Tenses - Review | Czasy Teraźniejsze - Powtórka
Pronouns & Saxon Genitive | Zaimki oraz Dopełniacz Saksoński
Much, Many, Few, Little | Dużo, Mało
Noun Comparison | Porównywanie Rzeczowników
Will - Future Tense | Czas Przyszły
Past simple - Verb ‘to be’ | Czasownik ‘być’ w Czasie Przeszłym
Past Simple - Regular Verbs | Czasowniki Regularne w Czasie Przeszłym
8 Past Simple Irregular Verbs 1 | Czasowniki Nieregularne, część 1
Past Simple - Irregular Verbs 2 | Czasowniki Nieregularne, część 2
Past Continuous | Czas Przeszły Ciągły
‘Have to’ in three tenses | ‘Have to’ w trzech czasach
Can, Could & To be able | ‘Can’ w Czasie Teraźniejszym, Przeszłym i Przyszłym
Comparatives & Superlatives | Stopień Wyższy i Najwyższy Przymiotnika
The First Conditional | Pierwszy Tryb Warunkowy
Anything, Something, Nothing | Coś i Nic
Will & Going to | Czas Przyszły oraz Wyrażenie Going to
Would like | Chciałbym/Chciałabym
Should | Powinność
Too & Enough | Za i Zbyt
Still, Yet, Already, Not Anymore | Wciąż, Jeszcze, Już i Już Nie
‘There’ in three tenses | Forma ‘There’ w trzech czasach
Adjectives with -ing & -ed ending | Przymiotniki z końcówką -ing & -ed
It’s Necessary/Important to ... | Trzeba, Ważne jest....
Prepositions 2 | Przyimki, część 2
Prepositions in Questions | Przyimki w Pytaniach
Expressions 2 | Wyrażenia, część 2
Short Answers | Krótkie Odpowiedzi
Review - Sprawdź Się!
