UTenses Review | Powtórka Czasów
Present Perfect vs. Past Simple | Czas Teraźniejszy Dokonany/Przeszły Prosty
Irregular Verbs | Czasowniki Nieregularne
There in All Tenses | There we Wszystkich Czasach
Passive Voice 1 | Strona Bierna, część 1
Other, Another, Others | Inni, Inny, Inne...
Make & Do 2 | Tworzyć i Robić, część 2
Say & Tell | Mówić i Powiedzieć
Gerund & Infinitive 1 | Czasownik z końcówką -ing & Bezokolicznik, część 1
Bare Infinitive 1 | Nagi Bezokolicznik, część 1
Indirect Imperatives & Requests | Rozkazy i Prośby w Mowie Zależnej
To Wonder | Zastanawiać się
Relative Clauses | Zdania Względne
Purpose Clauses | Zdania Przyczynowo-Skutkowe
Linking Words (contrast) | Spójniki Kontrastujące
Giving Reason, Adding Information | Podanie Przyczyny, Dodanie Informacji
So/Such, So Many, So Much | Tak, Tak Wiele, Tak Dużo
Past Perfect | Czas Zaprzeszły
Third Conditional | Trzeci Tryb Warunkowy
I Wish | Chciałbym, Żałuję, Szkoda że....
Modal Verbs - Possibility | Czasowniki Modalne - Możliwość/Prawdopodobieństwo
Modal Verbs in the Past | Czasowniki Modalne w Czasie Przeszłym
Numbers | Liczby
Reported Speech 1 | Mowa Zależna, część 1
Prepositions 4 | Przyimki, część 4
Expressions 4 | Wyrażenia, część 4
27 Common Mistakes 1 | Często Popełniane Błędy, część 1
Review - Sprawdź Się!
