Tenses Review | Powtórka Czasów
Indirect Questions 2 | Pytania Zależne, część 2
It Takes 2 | To zabiera/zajmuje, część 2
Find it | Wyrażanie Opinii
Gerund & Infinitive 2 | Czasownik z końcówką -ing & Bezokolicznik, część 2
Bare Infinitive 2 | Nagi Bezokolicznik, część 2
Modal Verbs - all meanings | Czasowniki Modalne - wszystkie znaczenia
There in all uses | There we wszystkich użyciach
So Do I / Neither Do I | Ja Też / Ja Też Nie
Conditionals - Review | Tryby Warunkowe - Powtórka
Wish, If only | Chciałbym, Szkoda, że..., Gdybym tylko
Result & Condition Clauses | Wyrażanie Rezultatu i Warunku
Linking Words: despite, due to etc. | Spójniki: pomimo, z powodu itd
Passive Voice 2 | Strona Bierna, część 2
Reported Speech 2 | Mowa Zależna, część 2
Like / As | Tak, Jak, Jako
Questions Tags | Pytanie Rozłączne (prawda? nieprawdaż?)
As If, As Though; Verb + Adj | Tak Jakby; Czasowniki + przymiotniki
To be Supposed to do sth | Mieć coś zrobić
Emphasis: Do, Did; adverbs | Wzmocnienie za pomocą Do/Did lub Przysłówków
The (More)..., The (More)... | Im ..., Tym ....
No Matter who/what/when... | Nieważne kto/co/kiedy...
Whatever, Whichever, Wherever | Cokolwiek, Którykolwiek, Gdziekolwiek
Cleft Sentences, It Was Me Who... | Zdania typu To Byłem Ja...
Prepositions 5 | Przyimki, część 5
Expressions 5 | Wyrażenia, część 5
Common Mistakes 2 | Często Popełniane Błędy, część 2
Review | Powtórka
