Articles | Rodzajniki
Countable & Uncountable Nouns | Rzeczowniki Policzalne i Niepoliczalne
Gerund & Infinitive 3 | Czasownik z końcówką -ing & Bezokolicznik, część 3
To + Gerund | ‘To + Czasownik z końcówką -ing’
As ... As - All Forms | Tak ... Jak - Wszystkie Formy
Reported Speech 3 | Mowa Zależna, część 3
Passive Voice 3 | Strona Bierna, część 3
Have Something Done | Gdy ktoś coś dla nas robi
Unreal Time | Użycie Czasu Przeszłego z wyrażeniami It’s high time, Wish, I’d rather, etc..
Future Perfect Tenses | Czasy Przyszłe Dokonane
Participles | Imiesłowy
Linking Words | Spójniki
Reading Numbers | Jak Odczytać Liczby
Other Grammar Expressions | Inne Wyrażenia Gramatyczne
Neither, Either, None, Both, All | Żaden, Którykolwiek, Obydwa, Wszystkie itp
So, Such, Too, Enough | Tak, Tak Dużo, Za Dużo, Wystarczająco
Happen To & Make It | Określenie Przypadku & Osiągnięcia
Irregular Verbs | Czasowniki Nieregularne
Mixed Conditionals | Mieszane Tryby Warunkowe
The Subjunctive | Tryb Łączący
Inversion | Inwersj
With And Without Prepositions | Z oraz Bez Przyimków
Mix Of Phrases | Różne Zwroty
Prepositions 6 | Przyimki, część 6
Expressions 6 | Wyrażenia, część 6
Sayings | Powiedzenia
Slang | Angielski Argot
Review - Sprawdź Się!
